iter	Passed	Remaining
905	6354	4166
906	6361	4159
907	6368	4152
908	6376	4145
909	6382	4138
910	6389	4131
911	6396	4124
912	6403	4116
913	6411	4110
914	6417	4103
915	6424	4096
916	6431	4089
917	6439	4082
918	6446	4075
919	6454	4069
920	6461	4062
921	6467	4054
922	6475	4047
923	6481	4040
924	6489	4034
925	6496	4026
926	6504	4020
927	6512	4013
928	6519	4006
929	6525	3999
930	6533	3992
931	6540	3985
932	6546	3978
933	6554	3971
934	6559	3964
935	6566	3956
936	6573	3949
937	6580	3942
938	6587	3935
939	6593	3927
940	6599	3920
941	6606	3913
942	6612	3906
943	6620	3899
944	6626	3891
945	6632	3884
946	6639	3877
947	6646	3869
948	6652	3862
949	6658	3855
950	6664	3847
951	6672	3840
952	6678	3833
953	6685	3826
954	6691	3818
955	6698	3811
956	6704	3804
957	6711	3796
958	6717	3789
959	6724	3782
960	6730	3774
961	6737	3768
962	6744	3760
963	6751	3753
964	6758	3746
965	6765	3739
966	6770	3731
967	6777	3725
968	6784	3717
969	6790	3710
970	6796	3702
971	6802	3695
972	6809	3688
973	6815	3680
974	6822	3673
975	6829	3666
976	6836	3659
977	6843	3652
978	6850	3645
979	6857	3638
980	6864	3631
981	6870	3624
982	6877	3617
983	6884	3610
984	6891	3603
985	6898	3596
986	6905	3589
987	6911	3581
988	6918	3574
989	6924	3567
990	6931	3560
991	6937	3552
992	6943	3545
993	6949	3537
994	6956	3530
995	6962	3523
996	6967	3515
997	6975	3508
998	6981	3501
999	6987	3493
1000	6994	3486
1001	7000	3479
1002	7007	3472
1003	7014	3465
1004	7021	3458
1005	7027	3450
1006	7033	3443
1007	7040	3436
1008	7047	3429
1009	7054	3422
1010	7061	3415
1011	7068	3408
1012	7074	3401
1013	7080	3393
1014	7086	3386
1015	7093	3379
1016	7100	3372
1017	7107	3365
1018	7113	3358
1019	7120	3350
1020	7126	3343
1021	7132	3335
1022	7138	3328
1023	7145	3321
1024	7151	3314
1025	7158	3306
1026	7164	3299
1027	7170	3292
1028	7176	3284
1029	7183	3277
1030	7189	3270
1031	7196	3263
1032	7202	3256
1033	7208	3248
1034	7215	3241
1035	7221	3234
1036	7227	3226
1037	7233	3219
1038	7239	3212
1039	7246	3205
1040	7253	3198
1041	7259	3190
1042	7265	3183
1043	7271	3176
1044	7278	3168
1045	7285	3161
1046	7291	3154
1047	7297	3147
1048	7303	3140
1049	7310	3133
